BlockchainID,Symbol,Name,IsShownInTradingPair,IsForPreferredOption
0,AED,AED,0,1
0,AFN,AFN,0,1
0,ALL,ALL,0,1
0,AMD,AMD,0,1
0,ANG,ANG,0,1
0,AOA,AOA,0,1
0,ARS,ARS,0,1
0,AUD,AUD,0,1
0,AWG,AWG,0,1
0,AZN,AZN,0,1
0,BAM,BAM,0,1
0,BBD,BBD,0,1
0,BDT,BDT,0,1
0,BGN,BGN,0,1
0,BHD,BHD,0,1
0,BIF,BIF,0,1
0,BMD,BMD,0,1
0,BND,BND,0,1
0,BOB,BOB,0,1
0,BRL,BRL,0,1
0,BSD,BSD,0,1
0,BTN,BTN,0,1
0,BWP,BWP,0,1
0,BYN,BYN,0,1
0,BYR,BYR,0,1
0,BZD,BZD,0,1
0,CAD,CAD,0,1
0,CDF,CDF,0,1
0,CHF,CHF,0,1
0,CLF,CLF,0,1
0,CLP,CLP,0,1
0,CNY,CNY,0,1
0,COP,COP,0,1
0,CRC,CRC,0,1
0,CUC,CUC,0,1
0,CUP,CUP,0,1
0,CVE,CVE,0,1
0,CZK,CZK,0,1
0,DJF,DJF,0,1
0,DKK,DKK,0,1
0,DOP,DOP,0,1
0,DZD,DZD,0,1
0,EGP,EGP,0,1
0,ERN,ERN,0,1
0,ETB,ETB,0,1
0,EUR,EUR,0,1
0,FJD,FJD,0,1
0,FKP,FKP,0,1
0,GBP,GBP,0,1
0,GEL,GEL,0,1
0,GGP,GGP,0,1
0,GHS,GHS,0,1
0,GIP,GIP,0,1
0,GMD,GMD,0,1
0,GNF,GNF,0,1
0,GTQ,GTQ,0,1
0,GYD,GYD,0,1
0,HKD,HKD,0,1
0,HNL,HNL,0,1
0,HRK,HRK,0,1
0,HTG,HTG,0,1
0,HUF,HUF,0,1
0,IDR,IDR,0,1
0,ILS,ILS,0,1
0,IMP,IMP,0,1
0,INR,INR,0,1
0,IQD,IQD,0,1
0,IRR,IRR,0,1
0,ISK,ISK,0,1
0,JEP,JEP,0,1
0,JMD,JMD,0,1
0,JOD,JOD,0,1
0,JPY,JPY,0,1
0,KES,KES,0,1
0,KGS,KGS,0,1
0,KHR,KHR,0,1
0,KMF,KMF,0,1
0,KPW,KPW,0,1
0,KRW,KRW,0,1
0,KWD,KWD,0,1
0,KYD,KYD,0,1
0,KZT,KZT,0,1
0,LAK,LAK,0,1
0,LBP,LBP,0,1
0,LKR,LKR,0,1
0,LRD,LRD,0,1
0,LSL,LSL,0,1
0,LTL,LTL,0,1
0,LVL,LVL,0,1
0,LYD,LYD,0,1
0,MAD,MAD,0,1
0,MDL,MDL,0,1
0,MGA,MGA,0,1
0,MKD,MKD,0,1
0,MMK,MMK,0,1
0,MNT,MNT,0,1
0,MOP,MOP,0,1
0,MRO,MRO,0,1
0,MUR,MUR,0,1
0,MVR,MVR,0,1
0,MWK,MWK,0,1
0,MXN,MXN,0,1
0,MYR,MYR,0,1
0,MZN,MZN,0,1
0,NAD,NAD,0,1
0,NGN,NGN,0,1
0,NIO,NIO,0,1
0,NOK,NOK,0,1
0,NPR,NPR,0,1
0,NZD,NZD,0,1
0,OMR,OMR,0,1
0,PAB,PAB,0,1
0,PEN,PEN,0,1
0,PGK,PGK,0,1
0,PHP,PHP,0,1
0,PKR,PKR,0,1
0,PLN,PLN,0,1
0,PYG,PYG,0,1
0,QAR,QAR,0,1
0,RON,RON,0,1
0,RSD,RSD,0,1
0,RUB,RUB,0,1
0,RWF,RWF,0,1
0,SAR,SAR,0,1
0,SBD,SBD,0,1
0,SCR,SCR,0,1
0,SDG,SDG,0,1
0,SEK,SEK,0,1
0,SGD,SGD,0,1
0,SHP,SHP,0,1
0,SLL,SLL,0,1
0,SOS,SOS,0,1
0,SRD,SRD,0,1
0,STD,STD,0,1
0,SVC,SVC,0,1
0,SYP,SYP,0,1
0,SZL,SZL,0,1
0,THB,THB,0,1
0,TJS,TJS,0,1
0,TMT,TMT,0,1
0,TND,TND,0,1
0,TOP,TOP,0,1
0,TRY,TRY,0,1
0,TTD,TTD,0,1
0,TWD,TWD,0,1
0,TZS,TZS,0,1
0,UAH,UAH,0,1
0,UGX,UGX,0,1
0,USD,USD,1,1
0,UYU,UYU,0,1
0,UZS,UZS,0,1
0,VEF,VEF,0,1
0,VND,VND,0,1
0,VUV,VUV,0,1
0,WST,WST,0,1
0,XAF,XAF,0,1
0,XAG,XAG,0,1
0,XAU,XAU,0,1
0,XCD,XCD,0,1
0,XDR,XDR,0,1
0,XOF,XOF,0,1
0,XPF,XPF,0,1
0,YER,YER,0,1
0,ZAR,ZAR,0,1
0,ZMK,ZMK,0,1
0,ZMW,ZMW,0,1
0,ZWL,ZWL,0,1
